#{"t_start": 1749911480.3438144, "env_id": "LunarLander-v3"}
r,l,t
-125.750444,112,0.213218
-112.524833,85,0.357068
-90.491834,81,0.529227
-372.417807,136,0.854152
-98.78139,101,1.196474
-96.60411,76,1.383332
-102.304245,65,1.642319
-270.621953,91,1.913203
-353.174768,92,2.269626
-88.172453,65,2.455372
-251.693909,104,2.745502
-195.403909,106,3.008579
-171.517845,97,3.296697
-139.382281,104,3.546585
-332.503092,84,3.849163
-94.559642,94,4.159972
-196.657572,96,4.523621
-95.556753,59,4.804438
-67.269512,84,4.968114
-185.430585,86,5.142777
-90.735607,80,5.318394
-111.854472,67,5.445319
-123.702954,86,11.873839
-261.179628,92,12.105486
-252.293659,122,12.286293
-103.979138,87,12.42749
-154.670851,133,12.61801
-242.223748,116,12.799022
-350.755079,94,12.951352
-111.065376,136,13.183432
-151.156924,74,13.305102
-80.955877,73,13.410475
-192.698216,79,13.533269
-105.57568,113,13.701072
-153.104773,106,13.881603
-96.492394,121,14.059227
-132.249493,142,14.277286
-80.446093,71,14.385087
-175.477336,88,14.511672
-92.387931,131,14.706919
-72.30287,87,14.831517
-108.404169,70,14.938852
-114.364865,79,15.051289
-93.272108,75,19.94287
-229.259401,110,20.101986
-6.66476,104,20.250807
-73.439769,59,20.335363
-126.699478,98,20.479705
-116.429537,113,20.644558
-44.223294,65,20.741006
-118.879617,76,20.846843
-141.086673,122,21.029396
-219.455461,96,21.1623
-148.27135,89,21.287961
-101.595023,87,21.419775
-112.758922,126,21.618925
-273.527931,115,21.802024
-79.963224,78,21.934271
-106.161585,92,22.061257
-114.886559,108,22.212173
66.644787,1000,29.370874
-96.161466,150,29.604228
-86.69373,88,29.741557
-68.805422,128,29.941271
-7.659411,117,30.128372
-111.099549,116,30.297387
-66.8986,72,30.410939
-104.438159,66,30.507863
-133.344601,118,30.687905
-77.180874,129,30.990996
-165.863154,103,31.14641
-83.35515,163,31.401563
-211.484299,106,31.559711
-111.430622,89,31.704108
-72.489301,88,36.679643
-239.107957,110,36.844702
-73.684093,112,37.027229
-128.307863,130,37.23174
-62.344822,99,37.387039
-150.132318,141,37.604837
-38.755297,97,37.754743
-221.476148,115,37.921998
-282.136593,113,38.102878
-70.311853,110,38.276399
-235.402792,149,38.508978
-257.616798,128,38.700906
-34.431108,83,38.837577
-158.043899,109,39.003495
-81.715747,82,39.133816
-272.791436,145,39.366385
-215.287432,101,43.689499
-4.961155,110,43.868341
-138.823904,139,48.946708
9.336402,125,49.139883
-13.640611,134,49.453816
-44.756423,103,49.633802
-26.24045,122,49.845829
1.969658,187,50.144729
14.764339,90,50.291271
-117.952479,178,50.631688
-301.869912,161,50.936184
-285.418229,107,51.149385
-83.276706,113,51.397376
-54.413258,162,51.76645
-113.378696,121,52.06245
0.47239,123,52.303547
-105.274974,193,52.610274
-83.550334,99,57.527992
-17.827882,191,57.851301
-76.475421,190,58.169899
5.632557,184,58.485934
-15.762986,192,58.780106
-51.899413,171,59.058491
12.459929,230,59.429173
-68.057696,99,59.589698
-104.31171,142,59.841313
-14.086777,132,60.139946
-31.926663,101,60.311683
-158.66895,180,60.61379
-198.06632,191,60.928887
-232.914491,182,65.950049
10.709451,147,66.186234
-55.269527,168,66.454962
-117.173571,254,66.889732
-30.680019,117,67.070155
-122.931119,108,67.243682
-90.26659,200,67.60062
-33.362808,156,67.863107
-80.619296,140,68.086705
-31.433672,219,68.475512
-12.70346,176,68.771511
-35.746939,183,69.071414
-43.522555,178,74.277037
-43.955896,190,74.606237
16.73068,187,74.943911
-19.767793,158,75.239056
57.174059,1000,78.639101
